11. How does scareware operate?,"Pretends to be antivirus software, tricking users into buying fake protection."
12. What is a bot in malware context?,"A device infected to follow attacker commands, often part of a botnet."
13. What are botnets used for?,"Distributed Denial-of-Service (DDoS) attacks, spam, and fraud."
14. Explain ransomware.,"Encrypts files and demands payment, usually in cryptocurrency, for decryption."
15. How does ransomware affect users?,"Prevents file access, causing potential data loss or ransom payment."
16. What is a cryptominer?,Uses infected computers’ resources to mine cryptocurrencies for attackers.
17. List examples of malware behaviors.,"Information theft, denial of service, creating vulnerabilities, deceiving users."
18. What is keylogging?,Recording user keystrokes to steal sensitive information like passwords.
19. Define spying in malware.,Collecting host/user data for financial gain or exploitation.
20. What is a sniffing attack?,Intercepting network traffic to extract sensitive data.
21. How can malware create vulnerabilities?,"Disabling security software, opening backdoors, downgrading firmware."
22. Describe a DDoS attack.,Overloads a service with fake requests from multiple infected systems.
23. What are access denial attacks?,Worms or ransomware prevent users from accessing systems or files.
24. How can malware damage hardware?,"Overwriting firmware like BIOS, making the device unusable."
25. What does executing C&C commands mean?,Malware receives and executes commands from an external server.
26. How do attackers deceive users?,"Via phishing, fake software messages, and social engineering."
27. What is the effect of annoying malware?,"Displays ads or changes settings, disrupting user experience."
28. How does cryptomining compromise systems?,"Consumes processing power and electricity, reducing performance."
29. What is malicious spreading?,"Rapid malware replication across systems, like the Morris worm."
30. Can spreading be non-malicious?,"Yes, like Linux.Wifatch, which removes malware and improves security."
